,Column ,Explanation,ShortCut,meaning
18,nmme-tmp2m-56w__ccsm3,"Forecast of 2-meter temperature at 56 weeks lead from the CCSM3 model (Community Climate System Model version 3, USA).",meirank,Rank of the MEI value
19,nmme-tmp2m-56w__ccsm4,"Forecast of 2-meter temperature at 56 weeks lead from the CCSM4 model (Community Climate System Model version 4, USA).",nip,Nino Index Phase (NIP)
20,nmme-tmp2m-56w__cfsv2,"Forecast of 2-meter temperature at 56 weeks lead from the CFSv2 model (Climate Forecast System version 2, USA/NCEP).",hPa,"Hectopascal, unit of atmospheric pressure (1 hPa = 100 Pa)"
21,nmme-tmp2m-56w__gfdl,"Forecast of 2-meter temperature at 56 weeks lead from the GFDL standard model (Geophysical Fluid Dynamics Laboratory, USA).",nmme0mean,Multi-model ensemble mean of NMME models
22,nmme-tmp2m-56w__gfdlflora,"Forecast of 2-meter temperature at 56 weeks lead from the GFDL FLOR-A model (GFDL, atmospheric version A).",,
23,nmme-tmp2m-56w__gfdlflorb,"Forecast of 2-meter temperature at 56 weeks lead from the GFDL FLOR-B model (GFDL, atmospheric version B).",,
24,nmme-tmp2m-56w__nasa,Forecast of 2-meter temperature at 56 weeks lead from the NASA GMAO model (NASA Goddard Modeling and Assimilation Office).,,
25,nmme-tmp2m-56w__nmmemean,Multi-model ensemble mean of all NMME models above for 2-meter temperature at 56 weeks lead.,,
26,contest-rhum-sig995-14d__rhum,Relative humidity at 995 hPa over a 14-day period.,,
27,nmme-prate-34w__cancm3,Precipitation rate at 34-week lead from CanCM3 model.,,
28,nmme-prate-34w__cancm4,Precipitation rate at 34-week lead from CanCM4 model.,,
29,nmme-prate-34w__ccsm3,Precipitation rate at 34-week lead from CCSM3 model.,,
30,nmme-prate-34w__ccsm4,Precipitation rate at 34-week lead from CCSM4 model.,,
31,nmme-prate-34w__cfsv2,Precipitation rate at 34-week lead from CFSv2 model.,,
32,nmme-prate-34w__gfdl,Precipitation rate at 34-week lead from GFDL standard model.,,
33,nmme-prate-34w__gfdlflora,Precipitation rate at 34-week lead from GFDL FLOR-A model.,,
34,nmme-prate-34w__gfdlflorb,Precipitation rate at 34-week lead from GFDL FLOR-B model.,,
35,nmme-prate-34w__nasa,Precipitation rate at 34-week lead from NASA GMAO model.,,
36,nmme-prate-34w__nmmemean,Multi-model ensemble mean precipitation rate at 34-week lead.,,
37,contest-wind-h100-14d__wind-hgt-100,100-meter wind speed over a 14-day period.,,
38,nmme0-prate-56w__cancm30,Precipitation rate at 56-week lead from CanCM3 model.,,
39,nmme0-prate-56w__cancm40,Precipitation rate at 56-week lead from CanCM4 model.,,
40,nmme0-prate-56w__ccsm30,Precipitation rate at 56-week lead from CCSM3 model.,,
41,nmme0-prate-56w__ccsm40,Precipitation rate at 56-week lead from CCSM4 model.,,
42,nmme0-prate-56w__cfsv20,Precipitation rate at 56-week lead from CFSv2 model.,,
43,nmme0-prate-56w__gfdlflora0,Precipitation rate at 56-week lead from GFDL FLOR-A model.,,
44,nmme0-prate-56w__gfdlflorb0,Precipitation rate at 56-week lead from GFDL FLOR-B model.,,
45,nmme0-prate-56w__gfdl0,Precipitation rate at 56-week lead from GFDL standard model.,,
46,nmme0-prate-56w__nasa0,Precipitation rate at 56-week lead from NASA GMAO model.,,
47,nmme0-prate-56w__nmme0mean,Multi-model ensemble mean precipitation rate at 56-week lead.,,
48,nmme0-prate-34w__cancm30,,,
49,nmme0-prate-34w__cancm40,,,
50,nmme0-prate-34w__ccsm30,,,
51,nmme0-prate-34w__ccsm40,,,
52,nmme0-prate-34w__cfsv20,,,
53,nmme0-prate-34w__gfdlflora0,,,
54,nmme0-prate-34w__gfdlflorb0,,,
55,nmme0-prate-34w__gfdl0,,,
56,nmme0-prate-34w__nasa0,,,
57,nmme0-prate-34w__nmme0mean,,,
58,contest-tmp2m-14d__tmp2m,2-meter temperature over a 14-day period.(The Target),,
59,contest-slp-14d__slp,Sea level pressure over a 14-day period.,,
60,contest-wind-vwnd-925-14d__wind-vwnd-925,925 hPa meridional (north–south) wind over a 14-day period.,,
61,nmme-prate-56w__cancm3,,,
62,nmme-prate-56w__cancm4,,,
63,nmme-prate-56w__ccsm3,,,
64,nmme-prate-56w__ccsm4,,,
65,nmme-prate-56w__cfsv2,,,
66,nmme-prate-56w__gfdl,,,
67,nmme-prate-56w__gfdlflora,,,
68,nmme-prate-56w__gfdlflorb,,,
69,nmme-prate-56w__nasa,,,
70,nmme-prate-56w__nmmemean,,,
71,contest-pres-sfc-gauss-14d__pres,Surface pressure over a 14-day period,,
72,contest-wind-uwnd-250-14d__wind-uwnd-250,"250 hPa zonal (east–west) wind over a 14-day period / (hPa stands for hectopascal, a unit of pressure commonly used in meteorology.)",,
73,nmme-tmp2m-34w__cancm3,,,
74,nmme-tmp2m-34w__cancm4,,,
75,nmme-tmp2m-34w__ccsm3,,,
76,nmme-tmp2m-34w__ccsm4,,,
77,nmme-tmp2m-34w__cfsv2,,,
78,nmme-tmp2m-34w__gfdl,,,
79,nmme-tmp2m-34w__gfdlflora,,,
80,nmme-tmp2m-34w__gfdlflorb,,,
81,nmme-tmp2m-34w__nasa,,,
82,nmme-tmp2m-34w__nmmemean,,,
83,contest-prwtr-eatm-14d__prwtr,Total precipitable water in the atmosphere over a 14-day period.,,
84,contest-wind-vwnd-250-14d__wind-vwnd-250,,,
85,contest-precip-14d__precip,Precipitation over a 14-day period.,,
86,contest-wind-h850-14d__wind-hgt-850,850 hPa wind speed over a 14-day period,,
87,contest-wind-uwnd-925-14d__wind-uwnd-925,925 hPa zonal (east–west) wind over a 14-day period,,
88,contest-wind-h500-14d__wind-hgt-500,500 hPa wind speed over a 14-day period,,
89,cancm30,CanCM3 model (Canadian Climate Model version 3) forecast.,,
90,cancm40,CanCM4 model (Canadian Climate Model version 4) forecast.,,
91,ccsm30,"CCSM3 model (Community Climate System Model version 3, USA) forecast.",,
92,ccsm40,"CCSM4 model (Community Climate System Model version 4, USA) forecast.",,
93,cfsv20,"CFSv2 model (Climate Forecast System version 2, USA/NCEP) forecast.",,
94,gfdlflora0,"GFDL FLOR-A model (Geophysical Fluid Dynamics Laboratory, USA, atmospheric version A) forecast.",,
95,gfdlflorb0,"GFDL FLOR-B model (GFDL, atmospheric version B) forecast.",,
96,gfdl0,"GFDL standard model (Geophysical Fluid Dynamics Laboratory, USA) forecast.",,
97,nasa0,NASA GMAO model (NASA Goddard Modeling and Assimilation Office) forecast.,,
98,nmme0mean,Multi-model ensemble mean of all NMME models listed above.,,
99,climateregions__climateregion,Climate region of the location,,
100,elevation__elevation,Elevation of the location (meters above sea level),,
101,wind-vwnd-250-2010-1,925 hPa meridional (north–south) wind for week # of 2010,,
102,wind-vwnd-250-2010-2,,,
103,wind-vwnd-250-2010-3,,,
104,wind-vwnd-250-2010-4,,,
105,wind-vwnd-250-2010-5,,,
106,wind-vwnd-250-2010-6,,,
107,wind-vwnd-250-2010-7,,,
108,wind-vwnd-250-2010-8,,,
109,wind-vwnd-250-2010-9,,,
110,wind-vwnd-250-2010-10,,,
111,wind-vwnd-250-2010-11,,,
112,wind-vwnd-250-2010-12,,,
113,wind-vwnd-250-2010-13,,,
114,wind-vwnd-250-2010-14,,,
115,wind-vwnd-250-2010-15,,,
116,wind-vwnd-250-2010-16,,,
117,wind-vwnd-250-2010-17,,,
118,wind-vwnd-250-2010-18,,,
119,wind-vwnd-250-2010-19,,,
120,wind-vwnd-250-2010-20,,,
121,wind-uwnd-250-2010-1,250 hPa zonal (east–west) wind for week # of 2010,,
122,wind-uwnd-250-2010-2,,,
123,wind-uwnd-250-2010-3,,,
124,wind-uwnd-250-2010-4,,,
125,wind-uwnd-250-2010-5,,,
126,wind-uwnd-250-2010-6,,,
127,wind-uwnd-250-2010-7,,,
128,wind-uwnd-250-2010-8,,,
129,wind-uwnd-250-2010-9,,,
130,wind-uwnd-250-2010-10,,,
131,wind-uwnd-250-2010-11,,,
132,wind-uwnd-250-2010-12,,,
133,wind-uwnd-250-2010-13,,,
134,wind-uwnd-250-2010-14,,,
135,wind-uwnd-250-2010-15,,,
136,wind-uwnd-250-2010-16,,,
137,wind-uwnd-250-2010-17,,,
138,wind-uwnd-250-2010-18,,,
139,wind-uwnd-250-2010-19,,,
140,wind-uwnd-250-2010-20,,,
141,mjo1d__phase,Madden-Julian Oscillation (MJO) phase,,
142,mjo1d__amplitude,Madden-Julian Oscillation (MJO) amplitude,,
143,mei__mei,Multivariate ENSO Index (MEI) value,,
144,mei__meirank,Rank of the MEI value,,
145,mei__nip,Nino Index Phase (NIP) associated with MEI,,
146,wind-hgt-850-2010-1,850 hPa wind speed for week # of 2010,,
147,wind-hgt-850-2010-2,,,
148,wind-hgt-850-2010-3,,,
149,wind-hgt-850-2010-4,,,
150,wind-hgt-850-2010-5,,,
151,wind-hgt-850-2010-6,,,
152,wind-hgt-850-2010-7,,,
153,wind-hgt-850-2010-8,,,
154,wind-hgt-850-2010-9,,,
155,wind-hgt-850-2010-10,,,
156,sst-2010-1,Sea Surface Temperature (SST) for week # of 2010,,
157,sst-2010-2,,,
158,sst-2010-3,,,
159,sst-2010-4,,,
160,sst-2010-5,,,
161,sst-2010-6,,,
162,sst-2010-7,,,
163,sst-2010-8,,,
164,sst-2010-9,,,
165,sst-2010-10,,,
166,wind-hgt-500-2010-1,500 hPa wind speed for week # of 2010,,
167,wind-hgt-500-2010-2,,,
168,wind-hgt-500-2010-3,,,
169,wind-hgt-500-2010-4,,,
170,wind-hgt-500-2010-5,,,
171,wind-hgt-500-2010-6,,,
172,wind-hgt-500-2010-7,,,
173,wind-hgt-500-2010-8,,,
174,wind-hgt-500-2010-9,,,
175,wind-hgt-500-2010-10,,,
176,icec-2010-1,,,
177,icec-2010-2,,,
178,icec-2010-3,,,
179,icec-2010-4,,,
180,icec-2010-5,,,
181,icec-2010-6,,,
182,icec-2010-7,,,
183,icec-2010-8,,,
184,icec-2010-9,,,
185,icec-2010-10,,,
186,wind-uwnd-925-2010-1,925 hPa zonal wind for week # of 2010,,
187,wind-uwnd-925-2010-2,,,
188,wind-uwnd-925-2010-3,,,
189,wind-uwnd-925-2010-4,,,
190,wind-uwnd-925-2010-5,,,
191,wind-uwnd-925-2010-6,,,
192,wind-uwnd-925-2010-7,,,
193,wind-uwnd-925-2010-8,,,
194,wind-uwnd-925-2010-9,,,
195,wind-uwnd-925-2010-10,,,
196,wind-uwnd-925-2010-11,,,
197,wind-uwnd-925-2010-12,,,
198,wind-uwnd-925-2010-13,,,
199,wind-uwnd-925-2010-14,,,
200,wind-uwnd-925-2010-15,,,
201,wind-uwnd-925-2010-16,,,
202,wind-uwnd-925-2010-17,,,
203,wind-uwnd-925-2010-18,,,
204,wind-uwnd-925-2010-19,,,
205,wind-uwnd-925-2010-20,,,
206,wind-hgt-10-2010-1,10-meter wind speed for week # of 2010,,
207,wind-hgt-10-2010-2,,,
208,wind-hgt-10-2010-3,,,
209,wind-hgt-10-2010-4,,,
210,wind-hgt-10-2010-5,,,
211,wind-hgt-10-2010-6,,,
212,wind-hgt-10-2010-7,,,
213,wind-hgt-10-2010-8,,,
214,wind-hgt-10-2010-9,,,
215,wind-hgt-10-2010-10,,,
216,wind-hgt-100-2010-1,100-meter wind speed for week # of 2010,,
217,wind-hgt-100-2010-2,,,
218,wind-hgt-100-2010-3,,,
219,wind-hgt-100-2010-4,,,
220,wind-hgt-100-2010-5,,,
221,wind-hgt-100-2010-6,,,
222,wind-hgt-100-2010-7,,,
223,wind-hgt-100-2010-8,,,
224,wind-hgt-100-2010-9,,,
225,wind-hgt-100-2010-10,,,
226,wind-vwnd-925-2010-1,925 hPa meridional wind for week # of 2010,,
227,wind-vwnd-925-2010-2,,,
228,wind-vwnd-925-2010-3,,,
229,wind-vwnd-925-2010-4,,,
230,wind-vwnd-925-2010-5,,,
231,wind-vwnd-925-2010-6,,,
232,wind-vwnd-925-2010-7,,,
233,wind-vwnd-925-2010-8,,,
234,wind-vwnd-925-2010-9,,,
235,wind-vwnd-925-2010-10,,,
236,wind-vwnd-925-2010-11,,,
237,wind-vwnd-925-2010-12,,,
238,wind-vwnd-925-2010-13,,,
239,wind-vwnd-925-2010-14,,,
240,wind-vwnd-925-2010-15,,,
241,wind-vwnd-925-2010-16,,,
242,wind-vwnd-925-2010-17,,,
243,wind-vwnd-925-2010-18,,,
244,wind-vwnd-925-2010-19,,,
245,wind-vwnd-925-2010-20,,,
